School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,31,11,20,0.355,-19.6,-4.12,2.0,12.0,9,5,0,14,71.41935483870968,71.87096774193549,1255,23.774193548387096,53.67741935483871,0.443,7.774193548387097,19.322580645161292,0.402,16.096774193548388,21.483870967741936,0.749,22.741935483870968,9.870967741935484,32.61290322580645,12.96774193548387,7.129032258064516,2.3225806451612905,14.612903225806452,20.677419354838708,67.7,104.2,0.4,0.36,0.559,50.2,54.5,10.4,6.5,0.515,18.6,30.4,0.3,,,
Air Force,30,12,18,0.4,-4.08,1.71,6.0,12.0,8,9,3,8,66.0,69.13333333333334,1210,22.633333333333333,52.03333333333333,0.435,7.2,21.766666666666666,0.331,13.533333333333333,19.6,0.69,23.566666666666666,8.766666666666667,32.333333333333336,13.966666666666667,5.466666666666667,3.1333333333333333,13.333333333333334,18.766666666666666,65.4,100.1,0.377,0.418,0.538,48.8,61.7,8.3,9.9,0.504,17.9,26.7,0.26,,,
Akron,34,21,13,0.618,1.16,-0.48,12.0,6.0,13,2,6,8,68.58823529411765,66.94117647058823,1375,23.91176470588235,54.55882352941177,0.438,7.029411764705882,20.294117647058822,0.346,13.735294117647058,22.058823529411764,0.623,22.441176470588236,12.117647058823529,34.55882352941177,11.382352941176471,6.617647058823529,4.176470588235294,13.117647058823529,17.823529411764707,65.5,103.6,0.404,0.372,0.527,51.0,47.6,10.0,10.5,0.503,16.8,35.2,0.252,,,
Alabama,32,13,19,0.406,8.34,8.88,7.0,11.0,13,4,0,11,67.8125,67.1875,1295,23.15625,52.15625,0.444,5.71875,17.125,0.334,15.78125,23.03125,0.685,22.8125,10.0,32.8125,10.96875,6.8125,4.28125,11.875,18.96875,64.4,104.0,0.442,0.328,0.537,48.5,47.4,10.5,11.8,0.499,15.8,30.4,0.303,,,
Alabama A&M,30,14,16,0.467,-13.86,-10.58,10.0,8.0,7,4,5,11,64.53333333333333,67.0,1215,21.866666666666667,53.36666666666667,0.41,6.066666666666666,18.7,0.324,14.733333333333333,22.466666666666665,0.656,23.833333333333332,10.0,33.833333333333336,12.666666666666666,6.233333333333333,4.166666666666667,13.2,21.433333333333334,66.5,95.9,0.421,0.35,0.504,47.1,57.9,9.3,11.0,0.467,17.1,28.1,0.276,,,
Alabama State,32,19,13,0.594,-12.84,-11.4,12.0,6.0,13,1,5,10,70.78125,69.53125,1300,24.75,59.125,0.419,5.46875,19.125,0.286,15.8125,23.375,0.676,23.46875,12.71875,36.1875,12.96875,6.78125,3.59375,11.78125,18.0625,68.1,102.3,0.395,0.323,0.504,49.5,52.4,9.8,9.2,0.465,14.4,33.6,0.267,,,
Albany (NY),34,19,15,0.559,-3.31,-5.22,9.0,7.0,10,3,7,11,65.8529411764706,63.94117647058823,1375,22.5,50.970588235294116,0.441,4.794117647058823,13.323529411764707,0.36,16.058823529411764,21.41176470588235,0.75,24.470588235294116,10.088235294117647,34.55882352941177,11.058823529411764,5.411764705882353,2.9705882352941178,12.588235294117647,17.058823529411764,63.0,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315,16.0,R64,SOUTH
Alcorn State,31,12,19,0.387,-15.95,-9.27,9.0,9.0,9,3,2,13,64.03225806451613,67.7741935483871,1265,22.35483870967742,53.483870967741936,0.418,4.387096774193548,14.483870967741936,0.303,14.935483870967742,22.838709677419356,0.654,21.193548387096776,9.741935483870968,30.93548387096774,9.129032258064516,5.967741935483871,3.7419354838709675,11.483870967741936,18.612903225806452,64.8,96.8,0.427,0.271,0.498,47.3,40.8,9.0,10.0,0.459,15.1,29.3,0.279,,,
American,33,20,13,0.606,0.69,-3.25,13.0,5.0,11,3,9,9,63.06060606060606,59.121212121212125,1325,22.666666666666668,46.27272727272727,0.49,6.2727272727272725,16.545454545454547,0.379,11.454545454545455,16.21212121212121,0.707,22.848484848484848,7.03030303030303,29.87878787878788,14.909090909090908,6.0,3.3333333333333335,14.06060606060606,17.181818181818183,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5,0.248,15.0,R64,WEST
Appalachian State,30,9,21,0.3,-15.32,-7.13,5.0,11.0,7,7,2,13,67.8,71.73333333333333,1210,23.966666666666665,57.666666666666664,0.416,5.033333333333333,16.666666666666668,0.302,14.833333333333334,23.233333333333334,0.638,23.3,13.066666666666666,36.36666666666667,10.9,6.233333333333333,2.7666666666666666,12.066666666666666,19.9,67.4,99.8,0.403,0.289,0.493,50.6,45.5,9.2,7.2,0.459,14.9,34.0,0.257,,,
