School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,31,11,20,0.355,-19.6,-4.12,2,12,9,5,0,14,2214,2228,1255,759,1640,0.463,181,524,0.345,529,747,0.708,305,1004,407,205,128,431,576,67.7,104.9,0.455,0.32,0.558,49.8,53.6,9.7,12.0,0.518,17.8,30.2,0.323,NA,NA,NA
UAB,31,18,13,0.581,0.78,-0.77,7,9,12,5,5,5,2266,2180,1255,796,1927,0.413,200,638,0.313,388,581,0.668,370,1129,399,215,127,345,617,69.4,100.0,0.302,0.331,0.495,45.0,50.1,9.9,9.1,0.465,13.5,29.8,0.201,NA,NA,NA
Alabama,32,13,19,0.406,8.34,8.88,7,11,13,4,0,11,2170,2150,1295,727,1736,0.419,177,575,0.308,519,698,0.744,384,1117,381,179,129,410,611,64.4,103.1,0.402,0.331,0.52,51.5,52.4,8.6,11.5,0.47,16.5,34.5,0.299,NA,NA,NA
Albany (NY),34,19,15,0.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,1375,775,1848,0.419,236,676,0.349,388,537,0.723,329,1062,419,197,103,397,646,63.0,100.3,0.291,0.366,0.517,47.5,54.1,9.1,8.0,0.483,15.9,28.3,0.21,16.0,R64,SOUTH
American,33,20,13,0.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,1325,671,1621,0.414,161,505,0.319,448,660,0.679,319,962,336,234,79,396,579,60.7,97.0,0.407,0.312,0.504,49.4,50.1,11.6,8.1,0.464,17.0,29.7,0.276,15.0,R64,WEST
Appalachian State,30,9,21,0.3,-15.32,-7.13,5,11,7,7,2,13,2034,2152,1210,763,1644,0.464,179,486,0.368,447,670,0.667,303,1064,388,170,130,386,601,67.4,105.6,0.408,0.296,0.548,49.4,50.9,8.3,10.6,0.519,16.4,30.2,0.272,NA,NA,NA
Arizona State,33,21,12,0.636,13.32,7.41,10,8,16,1,4,7,2486,2291,1345,821,1961,0.419,175,536,0.326,474,732,0.648,385,1251,387,184,135,394,658,69.0,98.8,0.373,0.273,0.496,51.6,47.1,7.9,11.6,0.463,14.6,30.2,0.242,10.0,R64,MIDWEST
Arizona,38,33,5,0.868,23.36,9.04,15,3,18,0,8,3,2769,2225,1540,776,2041,0.38,173,541,0.32,500,698,0.716,369,1181,347,178,118,471,699,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245,1.0,E8,WEST
Little Rock,32,15,17,0.469,-5.39,-1.09,9,9,7,6,6,9,2288,2371,1320,759,1775,0.428,251,717,0.35,602,869,0.693,347,1136,435,215,119,419,636,68.4,105.1,0.49,0.404,0.542,49.2,57.3,9.5,8.9,0.498,16.1,30.1,0.339,NA,NA,NA
Arkansas,34,22,12,0.647,14.34,5.57,10,8,17,2,3,7,2723,2425,1376,809,1983,0.408,213,615,0.346,594,852,0.697,473,1340,391,185,105,579,688,72.5,97.2,0.43,0.31,0.508,52.3,48.3,7.4,7.5,0.462,19.5,36.6,0.3,NA,NA,NA
Auburn,30,14,16,0.467,5.11,5.47,6,12,12,6,2,8,2144,2155,1201,695,1615,0.43,219,566,0.387,546,787,0.694,343,1053,417,174,108,381,613,67.6,106.1,0.487,0.35,0.542,50.7,60.0,8.6,9.8,0.498,16.1,33.1,0.338,NA,NA,NA
Austin Peay,30,12,18,0.4,-10.5,-5.78,6,10,8,6,3,11,2287,2368,1215,838,1817,0.461,234,651,0.359,458,622,0.736,364,1052,475,235,99,430,637,71.9,108.5,0.342,0.358,0.56,51.3,56.7,10.8,8.4,0.526,16.9,34.2,0.252,NA,NA,NA
Baylor,38,26,12,0.684,15.8,10.11,9,9,13,4,5,5,2843,2577,1540,927,2179,0.425,258,731,0.353,465,688,0.676,432,1200,566,203,108,394,728,64.2,104.3,0.316,0.335,0.514,45.2,61.1,8.2,7.8,0.485,13.6,31.7,0.213,6.0,S16,WEST
Belmont,36,26,10,0.722,3.29,-1.88,14,2,13,1,10,8,2876,2661,1440,914,1989,0.46,248,709,0.35,585,839,0.697,396,1177,458,260,112,517,740,69.5,106.3,0.422,0.356,0.557,51.2,50.1,10.4,9.7,0.522,17.8,32.9,0.294,NA,NA,NA
Boise State,34,21,13,0.618,8.83,3.86,9,9,12,4,5,7,2591,2347,1380,809,1814,0.446,218,629,0.347,511,727,0.703,274,1025,385,156,114,397,639,65.9,103.2,0.401,0.347,0.543,46.7,47.6,6.9,9.2,0.506,15.5,25.6,0.282,NA,NA,NA
