,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Brigham Young,34,19,15,.559,9.81,5.78,,7,9,,12,4,,2,7,,2568,2376,,70.9,98.2,.375,.378,.531,46.0,50.2,10.2,7.3,.496,17.2,23.9,.261
31,Brown,27,14,13,.519,-2.73,-2.95,,7,7,,7,5,,7,8,,1878,1872,,69.9,98.7,.269,.371,.539,49.7,47.2,9.7,8.8,.512,17.7,23.7,.191
32,Bryant,30,17,13,.567,-3.63,-4.56,,8,8,,9,4,,7,8,,2381,2193,,73.0,99.7,.308,.389,.517,46.4,55.7,9.5,7.9,.485,14.9,24.8,.216
33,Bucknell,32,12,20,.375,-9.97,-7.00,,5,13,,7,7,,3,13,,2161,2192,,66.4,102.4,.274,.361,.525,48.5,55.6,11.5,9.2,.506,13.7,24.8,.176
34,Buffalo,32,15,17,.469,-2.73,0.91,,9,9,,11,4,,3,9,,2481,2485,,74.2,104.3,.351,.358,.548,48.2,53.2,8.8,8.0,.516,16.5,27.9,.247
35,Butler,32,14,18,.438,5.77,8.45,,6,14,,10,6,,3,10,,2088,2174,,67.2,101.1,.226,.332,.524,54.8,52.5,10.2,9.3,.501,16.2,30.4,.159
36,Cal Poly,33,8,25,.242,-7.17,-0.20,,1,18,,6,11,,1,13,,2006,2174,,65.1,100.5,.411,.361,.538,49.7,51.0,9.5,8.8,.495,16.8,24.7,.297
37,Cal State Bakersfield,33,11,22,.333,-8.06,-1.19,,6,14,,6,8,,3,12,,1995,2134,,63.4,100.4,.423,.424,.542,50.3,53.3,9.1,6.1,.500,18.4,28.0,.303
38,Cal State Fullerton,33,20,13,.606,2.05,0.05,,12,6,,11,2,,7,8,,2283,2148,,65.5,96.5,.326,.389,.513,51.0,49.3,8.9,8.6,.477,18.2,28.9,.232
39,Cal State Northridge,32,7,25,.219,-10.08,-1.41,,4,16,,7,8,,0,14,,2028,2194,,65.7,104.0,.385,.379,.536,51.4,53.9,8.2,7.4,.490,15.8,30.0,.289
40,California,32,3,29,.094,-2.90,8.88,,2,18,,3,14,,0,12,,1866,2243,,64.3,108.1,.326,.383,.548,53.0,51.6,8.9,11.1,.516,14.0,30.4,.234
41,California Baptist,33,17,16,.515,0.50,-0.41,,7,10,,12,5,,4,8,,2291,2156,,65.9,98.4,.289,.327,.509,47.7,46.2,8.3,8.1,.474,14.5,25.1,.210
42,Campbell,34,16,18,.471,-5.24,-4.90,,8,10,,8,6,,4,10,,2374,2329,,64.6,104.1,.312,.415,.552,50.4,48.9,9.2,10.5,.526,16.6,27.1,.217
